0.01	2.0180e-11
0.02	1.7468e-10
0.03	3.6318e-10
0.04	4.9681e-10
0.05	6.0909e-10
0.06	7.1506e-10
0.07	7.9587e-10
0.08	7.9977e-10
0.09	7.8861e-10
0.10	7.4477e-10
0.11	7.3711e-10
0.12	7.1084e-10
0.13	6.7487e-10
0.14	6.4645e-10
0.15	6.2894e-10
0.16	6.0551e-10
0.17	5.6900e-10
0.18	5.3555e-10
0.19	5.3096e-10
0.20	4.9320e-10
0.21	4.7169e-10
0.22	4.2947e-10
0.23	4.3426e-10
0.24	4.0329e-10
0.25	3.7402e-10
0.26	3.5918e-10
0.27	3.4821e-10
0.28	3.3093e-10
0.29	3.1355e-10
0.30	2.8441e-10
0.31	2.8487e-10
0.32	2.6918e-10
0.33	2.5672e-10
0.34	2.4710e-10
0.35	2.3625e-10
0.36	2.4228e-10
0.37	2.1954e-10
0.38	2.0446e-10
0.39	1.9143e-10
0.40	1.8923e-10
0.41	1.7996e-10
0.42	1.6822e-10
0.43	1.6575e-10
0.44	1.5272e-10
0.45	1.5936e-10
0.46	1.5371e-10
0.47	1.3908e-10
0.48	1.3707e-10
0.49	1.4613e-10
0.50	1.3761e-10
0.51	1.3898e-10
0.52	1.3985e-10
0.53	1.1621e-10
0.54	1.1703e-10
0.55	1.1589e-10
0.56	1.0795e-10
0.57	1.0932e-10
0.58	1.0096e-10
0.59	9.8923e-11
0.60	9.7378e-11
0.61	1.0995e-10
0.62	9.2622e-11
0.63	9.2511e-11
0.64	8.9074e-11
0.65	8.4657e-11
0.66	8.4067e-11
0.67	7.8704e-11
0.68	8.2760e-11
0.69	8.0308e-11
0.70	8.7784e-11
0.71	7.0621e-11
0.72	7.1234e-11
0.73	7.5787e-11
0.74	7.2944e-11
0.75	7.3532e-11
0.76	7.2227e-11
0.77	6.5164e-11
0.78	7.0860e-11
0.79	6.0233e-11
0.80	6.3180e-11
0.81	6.4210e-11
0.82	5.6278e-11
0.83	6.5006e-11
0.84	5.8797e-11
0.85	6.1905e-11
0.86	5.4542e-11
0.87	5.6860e-11
0.88	5.0395e-11
0.89	6.1312e-11
0.90	5.7989e-11
0.91	5.6072e-11
0.92	5.1887e-11
0.93	4.6812e-11
0.94	5.1483e-11
0.95	4.8811e-11
0.96	4.9679e-11
0.97	4.7109e-11
0.98	4.7017e-11
0.99	4.7132e-11
1.00	5.3868e-11
1.01	4.9834e-11
1.02	4.7866e-11
1.03	4.3475e-11
1.04	4.0056e-11
1.05	3.7241e-11
1.06	4.0680e-11
1.07	4.3908e-11
1.08	3.4289e-11
1.09	3.8081e-11
1.10	3.7303e-11
1.11	3.5068e-11
1.12	3.5221e-11
1.13	4.0663e-11
1.14	3.1719e-11
1.15	3.7636e-11
1.16	3.0025e-11
1.17	3.9022e-11
1.18	2.9211e-11
1.19	2.9436e-11
1.20	3.6506e-11
1.21	2.8128e-11
1.22	2.9570e-11
1.23	2.9160e-11
1.24	3.3032e-11
1.25	2.7320e-11
1.26	3.3376e-11
1.27	3.2434e-11
1.28	2.1724e-11
1.29	3.2647e-11
1.30	2.7004e-11
1.31	3.0877e-11
1.32	3.2531e-11
1.33	3.4692e-11
1.34	3.3129e-11
1.35	2.9691e-11
1.36	3.2222e-11
1.37	2.3410e-11
1.38	3.1541e-11
1.39	2.9275e-11
1.40	2.8450e-11
1.41	3.1576e-11
1.42	2.4850e-11
1.43	3.0123e-11
1.44	3.1153e-11
1.45	2.8950e-11
1.46	2.3702e-11
1.47	2.5399e-11
1.48	2.0385e-11
1.49	2.9788e-11
1.50	2.2536e-11
1.51	2.4157e-11
1.52	1.8281e-11
1.53	2.5177e-11
1.54	2.3285e-11
1.55	2.1973e-11
1.56	1.7881e-11
1.57	2.0853e-11
1.58	2.5174e-11
1.59	2.4434e-11
1.60	1.7306e-11
1.61	2.2042e-11
1.62	1.9744e-11
1.63	1.4674e-11
1.64	2.2599e-11
1.65	1.9825e-11
1.66	1.7132e-11
1.67	1.6608e-11
1.68	1.7308e-11
1.69	2.7380e-11
1.70	2.5422e-11
1.71	1.7421e-11
1.72	1.4731e-11
1.73	2.3711e-11
1.74	2.4868e-11
1.75	2.1114e-11
1.76	1.8867e-11
1.77	2.1140e-11
1.78	1.8001e-11
1.79	1.3378e-11
1.80	2.5170e-11
1.81	1.4115e-11
1.82	1.2911e-11
1.83	1.7098e-11
1.84	1.4902e-11
1.85	1.3539e-11
1.86	1.8577e-11
1.87	1.8680e-11
1.88	1.1546e-11
1.89	2.0168e-11
1.90	1.5912e-11
1.91	2.0663e-11
1.92	1.1757e-11
1.93	1.7837e-11
1.94	1.3826e-11
1.95	1.7998e-11
1.96	1.1571e-11
1.97	1.2265e-11
1.98	1.3414e-11
1.99	1.3570e-11
2.00	1.4978e-11
2.01	1.4821e-11
2.02	1.4821e-11
2.03	1.4821e-11
2.04	1.4821e-11
2.05	1.4821e-11
2.06	1.4821e-11
2.07	1.4821e-11
2.08	1.4821e-11
2.09	1.4821e-11
2.10	1.4821e-11
2.11	1.0725e-11
2.12	1.0725e-11
2.13	1.0725e-11
2.14	1.0725e-11
2.15	1.0725e-11
2.16	1.0725e-11
2.17	1.0725e-11
2.18	1.0725e-11
2.19	1.0725e-11
2.20	1.0725e-11
2.21	1.1281e-11
2.22	1.1281e-11
2.23	1.1281e-11
2.24	1.1281e-11
2.25	1.1281e-11
2.26	1.1281e-11
2.27	1.1281e-11
2.28	1.1281e-11
2.29	1.1281e-11
2.30	1.1281e-11
2.31	1.0022e-11
2.32	1.0022e-11
2.33	1.0022e-11
